,click,hour,C1,banner_pos,device_type,device_conn_type,C14,C15,C16,C17,C18,C19,C20,C21,device_model_int
0,0,14102100,1005,0,1,2,15706,320,50,1722,0,35,-1,79,-4536565594672005814
1,0,14102100,1005,0,1,0,15704,320,50,1722,0,35,100084,79,-80052322344914806
2,0,14102100,1005,0,1,0,15704,320,50,1722,0,35,100084,79,-3130634972019121531
3,0,14102100,1005,0,1,0,15706,320,50,1722,0,35,100084,79,-8587292268327570678
4,0,14102100,1005,1,1,0,18993,320,50,2161,0,35,-1,157,-7699311560514132401
5,0,14102100,1005,0,1,0,16920,320,50,1899,0,431,100077,117,-3130634972019121531
6,0,14102100,1005,0,1,0,20362,320,50,2333,0,39,-1,157,-7084439546542490053
7,0,14102100,1005,1,1,0,20632,320,50,2374,3,39,-1,23,137884114573136964
8,1,14102100,1005,0,1,2,15707,320,50,1722,0,35,-1,79,7915586405352128873
9,0,14102100,1002,0,0,0,21689,320,50,2496,3,167,100191,23,-8596601259087622892
10,0,14102100,1005,1,1,0,17747,320,50,1974,2,39,100019,33,6040891283013818504
11,0,14102100,1005,0,1,0,15701,320,50,1722,0,35,-1,79,-5497470920203784452
12,0,14102100,1005,0,1,2,20596,320,50,2161,0,35,100148,157,-5372451124868605537
13,0,14102100,1005,0,1,0,19771,320,50,2227,0,687,100077,48,5915038310145340053
14,0,14102100,1005,0,1,0,20984,320,50,2371,0,551,-1,46,-1350210658883850328
15,0,14102100,1005,0,1,0,15699,320,50,1722,0,35,100084,79,-3130634972019121531
16,0,14102100,1005,0,1,0,17914,320,50,2043,2,39,-1,32,-7750554880738169280
17,0,14102100,1005,0,1,2,15708,320,50,1722,0,35,100084,79,8708890868380135645
18,0,14102100,1005,1,1,0,6558,320,50,571,2,39,-1,32,5360659529384228330
19,0,14102100,1005,0,1,0,21234,320,50,2434,3,163,100088,61,9087744846562218625
20,0,14102100,1005,0,1,0,20352,320,50,2333,0,39,-1,157,7435872463990148051
21,0,14102100,1005,0,1,0,15706,320,50,1722,0,35,-1,79,1392857164009207940
22,0,14102100,1005,0,1,0,20366,320,50,2333,0,39,-1,157,-8930747768470053767
23,1,14102100,1005,0,1,0,15701,320,50,1722,0,35,-1,79,4976734164543752900
24,0,14102100,1005,0,1,0,15706,320,50,1722,0,35,100083,79,-2454326311581678561
25,0,14102100,1010,1,4,0,21665,320,50,2493,3,35,-1,117,-7958935443491777171
26,0,14102100,1005,1,1,0,20984,320,50,2371,0,551,100217,46,6149215427196725526
27,1,14102100,1005,0,1,0,21611,320,50,2480,3,297,100111,61,4994030656092770748
28,0,14102100,1005,0,1,0,20366,320,50,2333,0,39,-1,157,7741261153921945767
29,0,14102100,1005,0,1,0,15706,320,50,1722,0,35,-1,79,-8524845869631428841
30,0,14102100,1005,0,1,3,15708,320,50,1722,0,35,-1,79,6548076158461573965
31,0,14102100,1005,0,1,0,16838,320,50,1882,3,35,-1,13,4042043507569394401
32,1,14102100,1005,0,1,0,15708,320,50,1722,0,35,100083,79,-4039722432794953198
33,0,14102100,1005,0,1,0,15699,320,50,1722,0,35,-1,79,7741261153921945767
34,0,14102100,1005,0,1,0,20362,320,50,2333,0,39,-1,157,7741261153921945767
35,0,14102100,1005,0,1,3,18987,320,50,2158,3,291,100193,61,4208264166030989728
36,0,14102100,1005,0,1,0,20596,320,50,2161,0,35,-1,157,-6842687763310561140
37,1,14102100,1005,0,1,0,18993,320,50,2161,0,35,100034,157,3873677487663381506
38,0,14102100,1005,0,1,0,18993,320,50,2161,0,35,-1,157,-5136386876248353461
39,1,14102100,1005,0,1,0,15706,320,50,1722,0,35,-1,79,-3080848871416834294
40,0,14102100,1005,0,1,0,15704,320,50,1722,0,35,100084,79,4406636929140257080
41,0,14102100,1005,0,1,0,19870,320,50,2271,0,687,100075,48,4781807169498824426
42,0,14102100,1005,0,1,0,15708,320,50,1722,0,35,-1,79,-6449148530060962954
43,0,14102100,1010,1,4,0,21665,320,50,2493,3,35,-1,117,-1409532227973659861
44,1,14102100,1002,0,0,0,21661,320,50,2446,3,171,100228,156,-4791154564170380901
45,0,14102100,1005,1,1,0,16208,320,50,1800,3,167,100075,23,3314832870957709642
